GrLivArea,TotalBsmtSF,OverallQual,YearBuilt,LotFrontage,MasVnrArea,Neighborhood,BldgType,CentralAir,GarageType,KitchenQual,BsmtQual,SalePrice
1950,975,7,1997,66.0,1600.0,Somerst,1Fam,Y,Detchd,Gd,Gd,239000
1743,702,6,1968,90.0,365.0,NWAmes,1Fam,Y,Attchd,TA,TA,175000
1152,1092,6,1950,80.0,0.0,Crawfor,1Fam,Y,Attchd,Gd,TA,158500
1336,1165,5,1953,90.0,56.0,Crawfor,2fmCon,Y,Attchd,TA,TA,157000
2452,1028,8,1998,66.0,0.0,CollgCr,1Fam,Y,BuiltIn,Gd,Gd,267000
1541,1541,7,2001,118.0,150.0,CollgCr,1Fam,Y,Attchd,Gd,Gd,205000
894,894,5,1972,70.0,0.0,CollgCr,1Fam,Y,Attchd,TA,TA,149900
3493,1470,7,1880,87.0,0.0,OldTown,1Fam,Y,Attchd,Gd,TA,295000
2000,2000,8,2004,80.0,246.0,CollgCr,1Fam,Y,Attchd,Gd,Gd,305900
2243,700,7,1990,116.0,246.0,SawyerW,1Fam,Y,Attchd,Gd,Gd,225000
1406,319,6,1920,,0.0,IDOTRR,1Fam,Y,,Fa,TA,89500
861,861,4,1940,,0.0,Edwards,1Fam,Y,Detchd,TA,TA,82500
1944,1896,9,2003,90.0,0.0,NridgHt,1Fam,Y,Attchd,Ex,Ex,360000
1501,697,6,1993,,112.0,Gilbert,1Fam,Y,Attchd,Gd,Gd,165600
972,972,6,1948,50.0,0.0,NAmes,1Fam,Y,Detchd,TA,TA,132000
1118,793,5,1939,65.0,0.0,OldTown,2fmCon,Y,Detchd,TA,Gd,119900
2036,2136,7,1965,150.0,0.0,Timber,1Fam,Y,Attchd,TA,Gd,375000
1641,728,7,1925,60.0,0.0,OldTown,1Fam,Y,Detchd,Ex,TA,178000
1432,716,7,2004,71.0,0.0,Gilbert,1Fam,Y,Attchd,Gd,Gd,188500
2353,845,7,1980,94.0,278.0,NWAmes,1Fam,Y,Attchd,Ex,Gd,260000
1959,1088,8,2006,75.0,0.0,Somerst,1Fam,Y,Attchd,Gd,Gd,270000
2646,1347,7,1993,90.0,256.0,NoRidge,1Fam,Y,Attchd,Gd,Gd,260000
1472,1372,7,1980,,225.0,NWAmes,1Fam,Y,Attchd,TA,Gd,187500
2596,1249,9,2006,111.0,370.0,NridgHt,1Fam,Y,Attchd,Gd,Ex,342643
2468,1136,8,2004,99.0,388.0,NridgHt,1Fam,Y,BuiltIn,Gd,Ex,354000
2730,1502,7,1986,86.0,172.0,SawyerW,1Fam,Y,Attchd,Gd,TA,301000
1163,1162,3,1955,49.0,0.0,OldTown,1Fam,Y,Attchd,TA,TA,126175
2978,710,7,1967,96.0,300.0,NAmes,1Fam,Y,BuiltIn,Gd,Gd,242000
803,720,5,1941,50.0,0.0,IDOTRR,1Fam,N,Detchd,TA,TA,87000
1719,1719,8,1993,32.0,0.0,Veenker,TwnhsE,Y,Attchd,Gd,Gd,324000
1383,1383,6,1960,80.0,175.0,NAmes,1Fam,Y,Attchd,TA,TA,145250
2134,844,6,1916,,0.0,BrkSide,1Fam,N,Detchd,Gd,TA,214500
1192,596,5,1920,60.0,0.0,IDOTRR,1Fam,N,Detchd,TA,TA,78000
1728,1728,5,1964,,84.0,NAmes,Duplex,Y,Detchd,TA,TA,119000
1056,1056,5,1958,70.0,0.0,NAmes,1Fam,Y,Attchd,TA,TA,139000
1629,3206,8,2003,85.0,296.0,NridgHt,1Fam,Y,Attchd,Gd,Gd,284000
1358,1358,7,2004,59.0,146.0,NridgHt,TwnhsE,Y,Attchd,Gd,Gd,207000
1638,943,6,1998,59.0,0.0,Gilbert,1Fam,Y,Attchd,TA,Gd,192000
1786,1499,5,1965,,0.0,Timber,2fmCon,Y,Attchd,TA,TA,228950
1922,1922,9,2005,86.0,200.0,StoneBr,1Fam,Y,Attchd,Gd,Ex,377426
1536,1536,7,2002,70.0,113.0,CollgCr,1Fam,Y,Attchd,Gd,Gd,214000
1621,1208,7,1984,91.0,0.0,NWAmes,1Fam,Y,Attchd,Gd,Gd,202500
1215,1215,6,1958,66.0,176.0,NAmes,1Fam,Y,Attchd,TA,TA,155000
1908,967,8,2002,85.0,0.0,Timber,1Fam,Y,Attchd,Gd,Gd,202900
841,721,4,1950,60.0,0.0,SawyerW,1Fam,Y,CarPort,TA,TA,82000
1040,0,3,1949,,340.0,NAmes,Duplex,N,Detchd,TA,,87500
1684,1684,9,2005,63.0,616.0,NridgHt,TwnhsE,Y,Attchd,Ex,Ex,266000
1112,536,5,1976,36.0,0.0,MeadowV,TwnhsE,Y,Attchd,TA,Gd,85000
1577,972,6,1939,65.0,0.0,BrkSide,1Fam,Y,Detchd,Fa,TA,140200
958,958,6,1960,,0.0,NAmes,1Fam,Y,Attchd,TA,TA,151500
1478,1478,6,1960,,30.0,NAmes,1Fam,Y,Attchd,TA,TA,157500
1626,764,7,2003,36.0,106.0,NridgHt,Twnhs,Y,BuiltIn,Gd,Gd,154000
2728,1848,9,2005,56.0,870.0,NridgHt,1Fam,Y,Attchd,Ex,Ex,437154
1869,1869,9,2007,68.0,362.0,NridgHt,TwnhsE,Y,Attchd,Ex,Ex,318061
1453,1453,7,1986,,0.0,ClearCr,1Fam,Y,Attchd,Gd,Gd,190000
1111,616,5,1941,60.0,0.0,Edwards,1Fam,N,Detchd,TA,TA,95000
720,624,6,1928,60.0,0.0,OldTown,1Fam,Y,Detchd,TA,TA,105900
1595,940,6,1940,60.0,0.0,SWISU,1Fam,Y,Attchd,TA,TA,140000
1200,1200,6,1995,105.0,0.0,CollgCr,1Fam,Y,Attchd,Gd,Gd,177500
1167,1158,6,1992,,106.0,Gilbert,1Fam,Y,Attchd,Gd,Gd,173000
1142,1142,5,1976,44.0,0.0,MeadowV,TwnhsE,Y,Attchd,TA,Gd,134000
1352,1062,5,1958,92.0,120.0,ClearCr,1Fam,Y,BuiltIn,Gd,TA,130000
1924,1086,8,1998,78.0,530.0,NoRidge,1Fam,Y,Attchd,Gd,Gd,280000
912,888,6,1978,,0.0,Mitchel,1Fam,Y,Attchd,TA,Gd,156000
1505,883,5,1940,,0.0,BrkSide,1Fam,Y,Detchd,TA,TA,145000
1922,0,7,2003,64.0,500.0,Edwards,1Fam,Y,BuiltIn,Gd,,198500
987,483,6,1972,21.0,510.0,BrDale,Twnhs,Y,Detchd,Gd,TA,118000
1574,796,6,1976,,120.0,NWAmes,1Fam,Y,Attchd,TA,Gd,190000
1344,672,5,1920,59.0,0.0,IDOTRR,1Fam,Y,Detchd,TA,TA,147000
1394,1394,6,1963,,247.0,NAmes,1Fam,Y,Attchd,TA,Gd,159000
1431,1099,6,1962,101.0,305.0,NAmes,1Fam,Y,Basment,TA,Gd,165000
1268,1268,5,1954,78.0,200.0,NAmes,1Fam,Y,Attchd,TA,TA,132000
1287,1063,5,1959,,0.0,NAmes,1Fam,Y,Detchd,Gd,TA,162000
1664,953,6,2000,,0.0,Gilbert,1Fam,Y,Attchd,TA,Gd,172400
1588,0,4,1959,80.0,0.0,ClearCr,1Fam,Y,Detchd,TA,,134432
752,744,6,1984,50.0,0.0,SawyerW,TwnhsE,Y,Attchd,TA,Gd,125000
1319,608,5,1953,79.0,0.0,NAmes,1Fam,Y,Attchd,TA,TA,123000
1928,847,7,2003,65.0,0.0,CollgCr,1Fam,Y,BuiltIn,Gd,Gd,219500
904,683,1,1922,,0.0,Edwards,1Fam,N,,Fa,Fa,61000
914,870,5,1996,57.0,0.0,CollgCr,1Fam,Y,Detchd,TA,Gd,148000
2466,1580,8,2004,102.0,0.0,Somerst,1Fam,Y,Attchd,Gd,Gd,340000
1856,1856,9,2010,88.0,350.0,StoneBr,1Fam,Y,Attchd,Ex,Ex,394432
1800,982,6,2000,60.0,16.0,Gilbert,1Fam,Y,Attchd,TA,Gd,179000
1691,1026,5,1924,50.0,0.0,SWISU,1Fam,Y,Detchd,Gd,TA,127000
1301,1293,7,2006,60.0,0.0,Somerst,1Fam,Y,Attchd,Gd,Gd,187750
1797,939,7,2006,79.0,0.0,CollgCr,1Fam,Y,Attchd,Gd,Gd,213500
784,784,6,1928,60.0,0.0,SawyerW,1Fam,N,Detchd,TA,Fa,76000
1953,1580,6,1992,,0.0,ClearCr,1Fam,Y,Attchd,Gd,Gd,240000
1269,1256,8,2004,43.0,16.0,Blmngtn,TwnhsE,Y,Attchd,Gd,Gd,192000
1184,658,5,1910,58.0,0.0,Edwards,1Fam,Y,,TA,TA,81000
1125,1041,6,1976,72.0,255.0,Edwards,1Fam,Y,Detchd,TA,TA,125000
1479,1468,7,1999,93.0,125.0,CollgCr,1Fam,Y,Attchd,Gd,Gd,191000
2332,1682,10,2007,96.0,272.0,NridgHt,1Fam,Y,BuiltIn,Ex,Ex,426000
1367,861,5,1900,50.0,0.0,Edwards,1Fam,Y,Detchd,TA,TA,119000
1961,804,6,2001,71.0,0.0,Mitchel,1Fam,Y,BuiltIn,Gd,Ex,215000
882,0,5,1959,,0.0,NAmes,1Fam,Y,Attchd,TA,,106500
788,788,4,1941,,0.0,BrkSide,1Fam,Y,,TA,TA,100000
1034,735,5,1940,60.0,0.0,OldTown,1Fam,Y,Detchd,TA,TA,109000
1144,1144,5,1956,68.0,0.0,Edwards,1Fam,Y,Attchd,TA,TA,129000
894,894,5,1972,60.0,0.0,CollgCr,1Fam,Y,Detchd,TA,TA,123000
1812,864,5,1962,69.0,288.0,NAmes,1Fam,Y,Attchd,TA,TA,169500
1077,961,5,1920,60.0,0.0,IDOTRR,1Fam,Y,Detchd,TA,Fa,67000
1550,1092,7,2006,65.0,100.0,Somerst,1Fam,Y,Attchd,Gd,Gd,241000
1288,1260,8,1996,38.0,0.0,Veenker,TwnhsE,Y,Attchd,Ex,Gd,245500
1310,1310,7,2005,65.0,0.0,CollgCr,1Fam,Y,Attchd,Gd,Gd,164990
672,672,5,1940,60.0,0.0,Sawyer,1Fam,Y,Detchd,TA,TA,108000
2263,1141,8,1998,93.0,650.0,NoRidge,1Fam,Y,BuiltIn,Gd,Gd,258000
1572,806,6,1995,,0.0,Gilbert,1Fam,Y,BuiltIn,TA,Gd,168000
1620,1281,4,1976,,0.0,Sawyer,1Fam,Y,Attchd,TA,TA,150000
1639,1064,6,1936,51.0,0.0,SWISU,1Fam,Y,Detchd,TA,TA,115000
1680,840,6,1915,63.0,0.0,Crawfor,1Fam,Y,Attchd,TA,Gd,177000
2172,1063,7,2006,109.0,350.0,NridgHt,1Fam,Y,Attchd,Gd,Ex,280000
2078,1034,8,2007,85.0,100.0,Somerst,1Fam,Y,Attchd,Ex,Ex,339750
1276,1276,5,1958,68.0,0.0,Edwards,1Fam,Y,Attchd,TA,TA,60000
1056,1056,5,1955,100.0,0.0,Gilbert,2fmCon,N,Attchd,TA,TA,145000
1478,1470,7,2009,,432.0,Somerst,1Fam,Y,Attchd,Gd,Ex,222000
1028,1008,5,1927,56.0,0.0,OldTown,1Fam,Y,Detchd,TA,TA,115000
2097,1080,7,1993,59.0,0.0,SawyerW,1Fam,Y,Attchd,Gd,Gd,228000
1340,1340,7,2007,73.0,0.0,Gilbert,1Fam,Y,Attchd,Gd,Gd,181134
1400,672,6,1978,74.0,203.0,Sawyer,1Fam,Y,Attchd,TA,TA,149500
2624,1370,6,1918,86.0,0.0,Crawfor,1Fam,N,Detchd,TA,Gd,239000
1134,756,5,1940,60.0,0.0,Edwards,1Fam,N,Detchd,TA,TA,126000
1056,1056,5,1968,65.0,0.0,NAmes,1Fam,Y,Attchd,TA,TA,142000
1344,1344,7,1997,78.0,200.0,Mitchel,Duplex,Y,Attchd,TA,Gd,206300
1602,1602,6,1977,,126.0,NWAmes,1Fam,Y,Attchd,Gd,Gd,215000
988,988,5,1954,100.0,0.0,Mitchel,1Fam,Y,Attchd,TA,TA,113000
2630,1470,8,1998,80.0,473.0,NoRidge,1Fam,Y,Attchd,Gd,Gd,315000
1196,1196,6,1956,72.0,74.0,NAmes,1Fam,Y,Attchd,TA,Gd,139000
1389,651,7,1946,60.0,0.0,OldTown,1Fam,Y,Detchd,TA,TA,135000
1644,1518,7,1989,,145.0,SawyerW,1Fam,Y,Attchd,Gd,Gd,275000
907,907,4,1957,77.0,0.0,NAmes,1Fam,Y,Detchd,TA,TA,109008
1208,1208,7,2007,64.0,108.0,CollgCr,1Fam,Y,Attchd,Gd,Gd,195400
1412,1392,6,1988,130.0,0.0,Timber,1Fam,Y,Attchd,Gd,Gd,175000
987,483,6,1971,21.0,232.0,BrDale,Twnhs,Y,Detchd,TA,TA,85400
1198,901,6,1920,60.0,0.0,OldTown,1Fam,Y,,TA,TA,79900
1365,765,5,1971,24.0,376.0,BrDale,TwnhsE,Y,Detchd,TA,TA,122500
1604,926,6,1997,100.0,0.0,Gilbert,1Fam,Y,Attchd,TA,Gd,181000
630,630,4,1972,21.0,0.0,MeadowV,Twnhs,Y,,TA,Gd,81000
1661,799,7,1996,43.0,0.0,CollgCr,1Fam,Y,Attchd,Gd,Gd,212000
1118,648,6,1920,40.0,0.0,OldTown,1Fam,Y,Detchd,TA,Fa,116000
904,884,6,1926,50.0,0.0,BrkSide,1Fam,Y,Detchd,TA,TA,119000
694,440,5,1913,40.0,0.0,Crawfor,1Fam,N,Detchd,Gd,TA,90350
1196,684,6,1920,67.0,0.0,Edwards,1Fam,Y,Detchd,Gd,TA,110000
2402,3094,10,2008,105.0,200.0,NridgHt,1Fam,Y,Attchd,Ex,Ex,555000
1440,1440,4,1955,92.0,270.0,Edwards,Duplex,N,,Fa,TA,118000
1573,1078,5,1930,52.0,0.0,BrkSide,1Fam,Y,Detchd,TA,TA,162900
1258,1258,7,2006,53.0,72.0,Blmngtn,TwnhsE,Y,Attchd,Gd,Ex,172500
1908,915,7,1994,70.0,0.0,CollgCr,1Fam,Y,Attchd,Gd,Gd,210000
1689,1436,6,1956,73.0,0.0,Edwards,1Fam,Y,Attchd,TA,TA,127500
1888,1517,6,1966,137.0,0.0,NAmes,1Fam,Y,Attchd,Gd,TA,190000
1886,930,7,1998,,0.0,Gilbert,1Fam,Y,Attchd,Gd,Gd,199900
1376,780,6,1937,50.0,0.0,IDOTRR,1Fam,Y,Detchd,TA,TA,119500
1183,649,3,1948,50.0,0.0,OldTown,1Fam,Y,Detchd,TA,TA,120000
813,813,6,1930,70.0,0.0,OldTown,1Fam,Y,Detchd,Gd,TA,110000
1533,1533,7,1975,62.0,0.0,ClearCr,1Fam,Y,Attchd,Gd,Gd,280000
1756,872,6,1996,,42.0,Timber,1Fam,Y,Attchd,TA,Ex,204000
1590,768,8,2008,75.0,0.0,Somerst,1Fam,Y,Attchd,Gd,Gd,210000
1728,1728,5,1976,63.0,0.0,Mitchel,Duplex,Y,Detchd,TA,TA,188000
1242,1242,7,1973,80.0,320.0,NWAmes,1Fam,Y,Attchd,TA,TA,175500
1344,624,5,1916,34.0,0.0,OldTown,1Fam,N,Detchd,TA,TA,98000
1663,1364,4,1954,,0.0,ClearCr,1Fam,Y,Attchd,Gd,Gd,256000
1666,588,8,1925,,0.0,OldTown,1Fam,Y,Detchd,Gd,TA,161000
1203,709,5,1950,,161.0,BrkSide,1Fam,Y,Detchd,Gd,TA,110000
1935,832,8,2009,75.0,110.0,Somerst,1Fam,Y,BuiltIn,TA,Gd,263435
1135,560,7,1936,60.0,0.0,SWISU,1Fam,Y,Detchd,Gd,Gd,155000
864,864,5,1965,60.0,0.0,Sawyer,1Fam,Y,Detchd,TA,TA,62383
1660,715,6,1934,74.0,0.0,Crawfor,1Fam,Y,Detchd,TA,TA,188700
1040,1040,5,1978,60.0,136.0,CollgCr,1Fam,Y,,TA,Gd,124000
1414,1375,7,2004,,18.0,Blmngtn,TwnhsE,Y,Attchd,Gd,Gd,178740
1277,1277,7,1970,85.0,0.0,NAmes,1Fam,Y,Attchd,TA,TA,167000
1644,728,5,1942,79.0,224.0,NAmes,1Fam,Y,Attchd,Gd,TA,146500
1634,1626,8,2006,98.0,248.0,NridgHt,1Fam,Y,Attchd,Gd,Gd,250000
1710,832,6,1993,76.0,120.0,SawyerW,1Fam,Y,Attchd,Gd,Gd,187000
1502,1488,8,1985,,0.0,StoneBr,TwnhsE,Y,Attchd,Gd,Gd,212000
1969,808,7,1977,92.0,0.0,NWAmes,1Fam,Y,Attchd,TA,Gd,190000
1072,547,6,2005,35.0,80.0,Edwards,TwnhsE,Y,Basment,TA,Gd,148000
1976,1976,8,2006,110.0,304.0,NridgHt,1Fam,Y,Attchd,Gd,Ex,440000
1652,1494,8,2000,41.0,0.0,StoneBr,TwnhsE,Y,Attchd,Ex,Gd,251000
970,970,5,1963,80.0,0.0,Sawyer,1Fam,Y,Detchd,TA,TA,132500
1493,1478,6,1997,75.0,215.0,CollgCr,1Fam,Y,Attchd,Gd,Gd,208900
2643,2153,9,2006,105.0,772.0,NridgHt,1Fam,Y,BuiltIn,Ex,Gd,380000
1718,1705,8,2007,79.0,336.0,CollgCr,1Fam,Y,Attchd,Gd,Ex,297000
1131,907,4,1937,50.0,435.0,OldTown,1Fam,Y,Detchd,TA,Fa,89471
1850,1833,9,2004,98.0,378.0,NridgHt,1Fam,Y,Attchd,Gd,Ex,326000
1792,1792,9,2003,72.0,562.0,NridgHt,1Fam,Y,Attchd,Ex,Ex,374000
1826,910,7,1915,50.0,0.0,OldTown,1Fam,Y,Attchd,Ex,TA,155000
1216,1216,6,1998,32.0,116.0,Mitchel,Twnhs,Y,Attchd,TA,Ex,164000
999,999,5,1962,,0.0,Sawyer,1Fam,Y,Detchd,Gd,TA,132500
1113,1113,5,1950,80.0,0.0,NAmes,1Fam,Y,Attchd,Gd,TA,147000
1073,1073,5,1965,79.0,168.0,NAmes,1Fam,Y,Attchd,TA,TA,156000
1484,1484,5,1971,70.0,0.0,NWAmes,1Fam,Y,Attchd,TA,Gd,175000
2414,954,5,1900,60.0,0.0,OldTown,2fmCon,N,Attchd,TA,TA,160000
630,630,4,1970,21.0,0.0,MeadowV,Twnhs,Y,Attchd,Gd,Gd,86000
1304,264,5,1976,,0.0,MeadowV,TwnhsE,Y,BuiltIn,TA,Gd,115000
1578,806,6,1941,79.0,0.0,NAmes,1Fam,Y,Attchd,Fa,TA,133000
1456,728,6,2006,105.0,0.0,Gilbert,1Fam,Y,Attchd,TA,Gd,172785
1269,1269,5,1960,70.0,0.0,NAmes,1Fam,Y,Detchd,TA,TA,155000
886,190,5,1938,50.0,0.0,OldTown,1Fam,Y,Attchd,TA,Fa,91300
720,720,4,1920,60.0,0.0,IDOTRR,1Fam,N,,TA,TA,34900
3228,3200,8,1992,,0.0,NoRidge,1Fam,Y,Attchd,Gd,Gd,430000
1820,1026,7,1925,60.0,0.0,BrkSide,1Fam,Y,Detchd,TA,TA,184000
899,864,5,1967,65.0,89.0,Sawyer,1Fam,Y,Attchd,Gd,TA,130000
912,912,5,1958,70.0,0.0,NAmes,1Fam,Y,Attchd,TA,TA,120000
1218,672,6,1973,21.0,285.0,BrDale,Twnhs,Y,Detchd,TA,TA,113000
1768,866,7,2005,75.0,0.0,Somerst,1Fam,Y,Attchd,Gd,Gd,226700
1214,1214,5,1965,70.0,0.0,Edwards,1Fam,Y,Detchd,TA,TA,140000
1801,1501,7,1959,100.0,0.0,Crawfor,1Fam,Y,Attchd,TA,TA,289000
1322,855,6,1974,24.0,0.0,NPkVill,TwnhsE,Y,Attchd,TA,TA,147000
1960,960,5,1952,60.0,360.0,OldTown,Duplex,Y,Detchd,TA,TA,124500
1911,777,8,1993,80.0,125.0,SawyerW,1Fam,Y,Attchd,Gd,Gd,215000
1218,1218,6,2009,75.0,0.0,Somerst,1Fam,Y,Attchd,Gd,Gd,208300
1378,689,7,1928,60.0,0.0,OldTown,1Fam,Y,Detchd,Gd,TA,161000
1041,1041,5,1959,80.0,132.0,NAmes,1Fam,Y,Attchd,TA,TA,124500
1363,1008,5,1951,75.0,70.0,NAmes,1Fam,Y,CarPort,TA,TA,164900
1368,1368,7,2005,40.0,94.0,NridgHt,TwnhsE,Y,Attchd,Gd,Gd,202665
864,864,5,1958,70.0,0.0,NAmes,1Fam,Y,Detchd,TA,TA,129900
1080,1084,6,1983,71.0,0.0,Mitchel,1Fam,Y,Attchd,TA,TA,134000
789,768,5,1926,55.0,0.0,Crawfor,1Fam,N,Detchd,TA,TA,96500
2020,2006,10,2009,94.0,305.0,NridgHt,1Fam,Y,Attchd,Ex,Ex,402861
2119,689,6,1972,,333.0,NWAmes,1Fam,Y,Attchd,TA,TA,158000
2344,1264,7,1996,79.0,921.0,NoRidge,1Fam,Y,Attchd,Gd,Gd,265000
1796,794,6,1998,,0.0,CollgCr,1Fam,Y,Attchd,TA,Gd,211000
2080,1276,7,1926,53.0,0.0,Crawfor,1Fam,Y,Detchd,Gd,Gd,234000
1294,0,4,1900,60.0,0.0,OldTown,2fmCon,N,,TA,,106250
1244,1244,6,1957,90.0,0.0,NAmes,1Fam,Y,Attchd,TA,TA,150000
1664,1004,6,1947,50.0,0.0,BrkSide,1Fam,Y,Detchd,TA,TA,159000
4676,3138,10,2007,130.0,762.0,Edwards,1Fam,Y,BuiltIn,Ex,Ex,184750
2398,1379,7,1996,95.0,594.0,NoRidge,1Fam,Y,Attchd,Gd,Gd,315750
1266,1257,7,2005,62.0,0.0,Somerst,1Fam,Y,Attchd,Gd,Gd,176000
928,928,5,1956,70.0,0.0,NAmes,1Fam,Y,Attchd,TA,Gd,132000
2713,1452,9,2008,67.0,268.0,NridgHt,1Fam,Y,Attchd,Ex,Ex,446261
605,528,4,1920,58.0,0.0,Edwards,1Fam,Y,,TA,TA,86000
2515,2035,6,1957,,,Crawfor,1Fam,Y,Attchd,TA,TA,200624
1509,1461,6,1988,85.0,219.0,Timber,1Fam,Y,Attchd,Gd,Gd,175000
1362,611,6,1920,60.0,0.0,BrkSide,1Fam,Y,Detchd,TA,Fa,128000
827,0,5,1955,60.0,0.0,NAmes,1Fam,Y,Detchd,TA,,107500
334,0,1,1946,50.0,0.0,BrkSide,1Fam,N,,Fa,,39300
1414,707,8,2004,74.0,0.0,Gilbert,1Fam,Y,Attchd,Gd,Ex,178000
1347,1117,5,1910,70.0,0.0,Edwards,2fmCon,Y,,TA,Gd,107500
1724,880,7,1998,57.0,0.0,CollgCr,1Fam,Y,Attchd,Gd,Gd,188000
864,864,4,1972,,0.0,NAmes,1Fam,Y,Detchd,TA,TA,111250
1159,1051,5,1968,,188.0,Sawyer,1Fam,Y,Attchd,TA,TA,158000
1601,1581,8,2001,,479.0,CollgCr,1Fam,Y,Attchd,Gd,Gd,272000
1838,1838,9,2006,85.0,584.0,Timber,1Fam,Y,Attchd,Ex,Ex,315000
2285,969,8,2000,,72.0,NoRidge,1Fam,Y,BuiltIn,Gd,Gd,248000
1680,1650,7,1998,78.0,0.0,NWAmes,1Fam,Y,Attchd,Gd,Ex,213250
767,723,7,1998,34.0,182.0,NAmes,TwnhsE,Y,Attchd,TA,Gd,133000
1496,654,7,2006,58.0,0.0,Gilbert,1Fam,Y,Attchd,Gd,Gd,179665
2183,1204,7,1988,,178.0,NWAmes,1Fam,Y,Attchd,Gd,Gd,229000
1635,1065,6,1923,70.0,0.0,BrkSide,1Fam,Y,Detchd,TA,Gd,210000
768,768,5,1970,54.0,0.0,Mitchel,1Fam,Y,Detchd,TA,Gd,129500
825,825,5,1955,49.0,0.0,OldTown,1Fam,Y,Detchd,TA,TA,125000
2094,912,7,2003,75.0,0.0,Somerst,1Fam,Y,BuiltIn,Gd,Gd,263000
1069,1069,6,1977,53.0,0.0,NPkVill,TwnhsE,Y,Attchd,TA,Gd,140000
928,928,5,1957,50.0,0.0,OldTown,1Fam,Y,Attchd,TA,TA,112500
1717,1709,8,2006,87.0,250.0,NridgHt,1Fam,Y,Attchd,Gd,Ex,255500
1126,0,4,1949,67.0,0.0,Edwards,1Fam,Y,Detchd,Gd,,108000
2046,998,7,2003,85.0,292.0,NridgHt,1Fam,Y,BuiltIn,Gd,Gd,284000
1048,993,5,1922,58.0,0.0,BrkSide,1Fam,Y,Detchd,TA,TA,113000
1092,1092,5,1957,69.0,0.0,NAmes,1Fam,Y,Attchd,TA,TA,141000
1336,637,4,1920,60.0,0.0,IDOTRR,1Fam,Y,CarPort,TA,TA,108000
1446,729,7,1996,57.0,0.0,Gilbert,1Fam,Y,Attchd,TA,Gd,175000
1557,1374,7,2003,,18.0,Blmngtn,TwnhsE,Y,Attchd,Gd,Gd,234000
1392,1392,5,1957,,180.0,Sawyer,1Fam,Y,Detchd,TA,Gd,121500
1389,1389,5,1974,77.0,0.0,Mitchel,1Fam,Y,Attchd,TA,Gd,170000
996,996,5,1940,63.0,0.0,Edwards,1Fam,Y,,TA,TA,108000
1674,1163,6,1918,66.0,0.0,Edwards,1Fam,Y,Detchd,TA,Gd,185000
2295,1095,7,1992,,0.0,NoRidge,1Fam,Y,Attchd,Gd,Gd,268000
1647,806,6,1915,66.0,0.0,SWISU,1Fam,N,Detchd,Fa,Gd,128000
2504,1122,9,2005,77.0,245.0,StoneBr,1Fam,Y,BuiltIn,Ex,Gd,325000
1535,1517,7,2004,70.0,168.0,NridgHt,1Fam,Y,Attchd,Gd,Gd,214000
2132,1496,8,1983,79.0,0.0,SawyerW,1Fam,Y,BuiltIn,Gd,Gd,316600
943,943,5,1979,,0.0,NAmes,Duplex,Y,Detchd,TA,Gd,135960
1728,1728,5,1965,74.0,108.0,NAmes,Duplex,Y,Detchd,TA,TA,142600
864,864,6,1959,60.0,207.0,NAmes,1Fam,Y,Attchd,Gd,TA,120000
1692,846,7,2009,83.0,0.0,Timber,1Fam,Y,Attchd,Gd,Ex,224500
1430,384,7,2000,76.0,0.0,Gilbert,1Fam,Y,BuiltIn,TA,Gd,170000
1109,372,5,1971,70.0,82.0,NAmes,1Fam,Y,BuiltIn,TA,TA,139000
1216,832,5,1947,80.0,0.0,NAmes,1Fam,Y,Detchd,TA,TA,118500
1477,861,7,1928,52.0,0.0,SWISU,1Fam,Y,Detchd,TA,TA,145000
1320,1164,5,1966,96.0,97.0,Sawyer,1Fam,Y,Attchd,TA,TA,164500
1392,689,7,2007,34.0,0.0,Somerst,TwnhsE,Y,Detchd,Gd,Gd,146000
1795,1050,5,1954,81.0,335.0,OldTown,1Fam,N,Attchd,TA,TA,131500
1429,1144,6,1960,,85.0,NAmes,1Fam,Y,Attchd,Gd,TA,181900
2042,2042,8,2008,98.0,306.0,NridgHt,1Fam,Y,Attchd,Ex,Ex,253293
816,816,6,1990,81.0,104.0,Edwards,Duplex,Y,,TA,Gd,118500
2775,1237,10,1893,75.0,0.0,OldTown,1Fam,Y,Detchd,Gd,TA,325000
1573,884,4,1935,51.0,0.0,BrkSide,1Fam,Y,Detchd,Gd,TA,133000
2028,1868,8,2005,88.0,208.0,Timber,1Fam,Y,Attchd,Gd,Ex,369900
838,816,6,1918,55.0,0.0,BrkSide,1Fam,Y,Detchd,Fa,TA,130000
860,840,5,1982,74.0,0.0,Sawyer,1Fam,Y,Detchd,TA,TA,137000
1473,1437,5,1968,65.0,0.0,ClearCr,1Fam,Y,Attchd,Ex,TA,143000
935,742,5,1930,50.0,0.0,BrkSide,1Fam,Y,Detchd,TA,TA,79500
1582,770,7,2004,64.0,0.0,CollgCr,1Fam,Y,Attchd,Gd,Gd,185900
2296,1722,10,2008,97.0,420.0,NridgHt,1Fam,Y,BuiltIn,Ex,Ex,451950
816,816,5,1982,60.0,0.0,Mitchel,1Fam,Y,Detchd,TA,TA,138000
848,848,6,2003,,170.0,CollgCr,TwnhsE,Y,Attchd,Gd,Gd,140000
924,924,5,1975,88.0,0.0,CollgCr,1Fam,Y,Detchd,TA,Gd,110000
1826,1814,8,2005,69.0,238.0,StoneBr,1Fam,Y,Attchd,Gd,Gd,319000
