title,name,location,time,verified,review,aircraft,travel,seat_type,route,flown,rating,comf_rating,cabin_rating,food_rating,inflight_rating,ground_rating,money_rating,recomindation
ruined a checked roller bag,Mike Grandinetti,United States,15th March 2025,Trip Verified,15th March 2025,,Business,First Class,Damman to Doha,December 2024,2/10,4.0,4.0,,,1.0,1,
chaotic transfer at Hamad airport,Michael Schade,Thailand,12th March 2025,Trip Verified,12th March 2025,A350,A350,Economy Class,Dubai to Doha,February 2025,4/10,4.0,4.0,3.0,4.0,1.0,2,
pleasant and uneventful,Michael Schade,Thailand,8th March 2025,Trip Verified,8th March 2025,B773/A350,B773/A350,Economy Class,Bangkok to Doha,March 2025,6/10,4.0,5.0,4.0,4.0,5.0,4,
Qatar Airways changed the aircraft,J Dayle,United States,24th February 2025,Trip Verified,24th February 2025,,Business,Business Class,Chicago to Doha,February 2025,1/10,1.0,5.0,2.0,1.0,1.0,1,
attendants were very helpful,S Melkov,United Kingdom,24th February 2025,Trip Verified,24th February 2025,A330,A330,Economy Class,Gatwick to Colombo via Doha,February 2025,3/10,5.0,2.0,,,5.0,4,
Both flights were excellent,Walter Gujer,Thailand,18th February 2025,Trip Verified,18th February 2025,A350 / Boeing 777,A350 / Boeing 777,Business Class,Zurich to Bangkok via Doha,February 2025,10/10,5.0,5.0,5.0,4.0,5.0,5,
discourtesy with the security staff,K Brawn,United Kingdom,18th February 2025,Trip Verified,18th February 2025,,Couple Leisure,Business Class,Melbourne to Gatwick via Doha,February 2025,1/10,5.0,2.0,2.0,2.0,1.0,3,
Good but food needs improvement,Ishan Jani,United States,13th February 2025,Not Verified,13th February 2025,A350-1000,A350-1000,Economy Class,Miami to Doha,January 2025,6/10,3.0,5.0,5.0,5.0,5.0,3,
the flight was amazing,Ishan Jani,United Kingdom,13th February 2025,Not Verified,13th February 2025,787-8,787-8,Economy Class,Doha to Ahmedabad,January 2025,7/10,4.0,5.0,5.0,5.0,5.0,3,
epitome of comfort and privacy,Rajan Parrikar,Iceland,10th February 2025,Trip Verified,10th February 2025,A350-900,A350-900,Business Class,Doha to Copenhagen,February 2025,10/10,5.0,5.0,5.0,,5.0,5,
true premium service,Rajan Parrikar,Iceland,10th February 2025,Trip Verified,10th February 2025,Boeing 787-8,Boeing 787-8,Business Class,Goa to Doha,February 2025,10/10,5.0,5.0,5.0,,5.0,5,
excited to fly again on an A380,Walter Gujer,Thailand,8th February 2025,Trip Verified,8th February 2025,A380,A380,Business Class,Bangkok to Doha,February 2025,7/10,5.0,3.0,,,5.0,4,
customer services unhelpful,Tilly Hoskins,United Kingdom,8th February 2025,Trip Verified,8th February 2025,,Solo Leisure,Economy Class,London Heathrow to Hong Kong via Doha,February 2025,1/10,1.0,1.0,,,1.0,1,
exceptional service and attention,Samantha Svhucroft,Australia,7th February 2025,Not Verified,7th February 2025,A380,A380,First Class,Perth to Prague,December 2024,10/10,5.0,5.0,5.0,5.0,5.0,5,
cabin crew worked tirelessly,Tai Wei Wong,Malaysia,4th February 2025,Trip Verified,4th February 2025,A350-1000,A350-1000,Business Class,Kuala Lumpur to Houston via Doha,February 2025,9/10,5.0,5.0,5.0,5.0,5.0,4,
crew were attentive and approachable,Azlan Hashim,Malaysia,3rd February 2025,Not Verified,3rd February 2025,Boeing 777-300ER,Boeing 777-300ER,Economy Class,Doha to Istanbul,October 2024,8/10,4.0,5.0,4.0,5.0,5.0,5,
outstanding experience,Dr. Akeil Al-Faraj,Canada,28th January 2025,Trip Verified,28th January 2025,,Family Leisure,Economy Class,Doha to Amman,January 2025,10/10,5.0,5.0,5.0,5.0,5.0,5,
the service is always so good,Claus Falsig,Denmark,27th January 2025,Trip Verified,27th January 2025,,Business,Business Class,Copenhagen to Beijing via Doha,January 2025,10/10,5.0,5.0,5.0,5.0,5.0,5,
check-in at Calicut was slow,Shayne Haridas,Saudi Arabia,27th January 2025,Trip Verified,27th January 2025,,Solo Leisure,Economy Class,Calicut to Dammam via Doha,January 2025,4/10,1.0,4.0,3.0,1.0,1.0,2,
consistently ranks at or near the top,Rajan Parrikar,Iceland,14th January 2025,Trip Verified,14th January 2025,Boeing 787-8,Boeing 787-8,Business Class,Doha to Goa,January 2025,10/10,5.0,5.0,5.0,,5.0,4,
noticeable upgrade in meal quality,Rajan Parrikar,Iceland,14th January 2025,Trip Verified,14th January 2025,Boeing 787-9,Boeing 787-9,Business Class,Copenhagen to Doha,January 2025,10/10,5.0,5.0,5.0,,4.0,4,
Crew always ready to help,Willy Fischer ,France,9th January 2025,Trip Verified,9th January 2025,Boeing 777,Boeing 777,Economy Class,Doha to Paris CDG,September 2024,10/10,5.0,5.0,5.0,5.0,5.0,4,
we were silver members,David Sims,Australia,5th January 2025,Trip Verified,5th January 2025,A350-900,A350-900,Economy Class,Barcelona to Doha,January 2025,2/10,5.0,2.0,1.0,5.0,1.0,4,
the flight with Qatar Airways was great,L Han,Germany,5th January 2025,Trip Verified,5th January 2025,Boeing 777-300ER,Boeing 777-300ER,Business Class,Munich to Doha,January 2025,6/10,5.0,5.0,5.0,5.0,5.0,1,
pretty disappointing flight,Hubert Josef Lefarth,Germany,2nd January 2025,Trip Verified,2nd January 2025,,Couple Leisure,Economy Class,Barcelona to Doha,January 2025,5/10,3.0,2.0,3.0,3.0,5.0,3,
the service was impeccable,E Besine,France,1st January 2025,Trip Verified,1st January 2025,,Couple Leisure,Economy Class,Paris CDG to Manila via Doha,December 2024,10/10,5.0,5.0,5.0,5.0,5.0,5,
cabin crew are warm and friendly,Theona Knight ,Kuwait,28th December 2024,Trip Verified,28th December 2024,,Solo Leisure,Business Class,Doha to Hanoi,December 2024,10/10,5.0,5.0,5.0,5.0,5.0,5,
nothing arranged for the missed flight,T Nieminen,Finland,28th December 2024,Trip Verified,28th December 2024,,Solo Leisure,Economy Class,Helsinki to Guangzhou via Doha,September 2024,1/10,2.0,2.0,2.0,2.0,1.0,2,
I was not recognized in any way,Philippe Gimenez,China,24th December 2024,Trip Verified,24th December 2024,Boeing 777,Boeing 777,Economy Class,Hong Kong to Paris CDG via Doha,December 2024,3/10,3.0,1.0,1.0,,2.0,2,
the best we could imagine,Georgios Noutsis,Greece,21st December 2024,Trip Verified,21st December 2024,Boeing 787-9,Boeing 787-9,Economy Class,Hanoi to Athens via Doha,December 2024,10/10,5.0,5.0,5.0,5.0,5.0,5,
Good seat quality and space,Hy Lai,United Kingdom,21st December 2024,Not Verified,21st December 2024,,Solo Leisure,Economy Class,Athens to Tokyo via Doha,December 2024,4/10,5.0,2.0,1.0,3.0,2.0,2,
Exceptional service,Lucette Nyberg,Sweden,15th December 2024,Trip Verified,15th December 2024,,Solo Leisure,Business Class,Doha to Cape Town,December 2024,9/10,4.0,5.0,5.0,5.0,4.0,5,
superb experience,M Darsen,Sweden,14th December 2024,Trip Verified,14th December 2024,Boeing 787-8,Boeing 787-8,Business Class,Doha to Stockholm,November 2024,10/10,5.0,5.0,5.0,5.0,5.0,4,
Perfect service,M Darsen,Sweden,14th December 2024,Trip Verified,14th December 2024,Boeing 777-300ER,Boeing 777-300ER,Business Class,Denpasar to Doha,November 2024,10/10,5.0,5.0,5.0,5.0,5.0,4,
downgraded my plane,Kevin Kozinchik,Spain,14th December 2024,Trip Verified,14th December 2024,Boeing 787,Boeing 787,Business Class,Madrid to Johannesburg via Doha,January 2025,1/10,,,,,1.0,2,
serious confusion,D Mayle,Malaysia,13th December 2024,Trip Verified,13th December 2024,Boeing 777,Boeing 777,Economy Class,Doha to Penang via Phuket,December 2024,5/10,4.0,2.0,4.0,3.0,5.0,3,
too bland or salty,Harish Vasudevan,United States,7th December 2024,Trip Verified,7th December 2024,A350,A350,Economy Class,Boston to Chennai via Doha,December 2024,5/10,4.0,4.0,2.0,2.0,5.0,3,
no feedback in a month,R Keale,Sweden,2nd December 2024,Trip Verified,2nd December 2024,,Couple Leisure,Economy Class,Maldives to Copenhagen,November 2024,5/10,3.0,4.0,4.0,4.0,1.0,3,
comfortable 5 hours in the air,Virginia Bolton,Australia,30th November 2024,Trip Verified,30th November 2024,A330,A330,Business Class,Dar es Salaam to Doha,November 2024,6/10,4.0,5.0,3.0,1.0,4.0,3,
Outstanding flight and crew,Virginia Bolton,Australia,30th November 2024,Trip Verified,30th November 2024,A380,A380,Business Class,Doha to Sydney,November 2024,9/10,5.0,5.0,5.0,1.0,4.0,4,
far from premium service,G Aliyev,Russian Federation,27th November 2024,Trip Verified,27th November 2024,A350,A350,Business Class,Osaka to Doha,November 2024,5/10,3.0,1.0,1.0,4.0,4.0,2,
Love at First Flight,C Richardson,United Kingdom,26th November 2024,Trip Verified,26th November 2024,,Business,Economy Class,London to Singapore via Doha,November 2024,10/10,5.0,5.0,5.0,5.0,5.0,5,
flight lived up to expectations,G Leyne,United Kingdom,26th November 2024,Trip Verified,26th November 2024,Boeing 777-300ER,Boeing 777-300ER,Economy Class,Doha to London Heathrow,November 2024,9/10,5.0,5.0,5.0,4.0,4.0,4,
always polite and attentive,N Aguilar,United Kingdom,25th November 2024,Trip Verified,25th November 2024,A330,A330,Economy Class,Kathmandu to Doha,November 2024,9/10,5.0,5.0,5.0,5.0,3.0,4,
Onboard service was excellent,S Deylan,United Kingdom,24th November 2024,Trip Verified,24th November 2024,A350-900,A350-900,Economy Class,London to Doha,October 2024,9/10,5.0,5.0,5.0,5.0,2.0,4,
Good provision of food,N Galen,United Kingdom,23rd November 2024,Trip Verified,23rd November 2024,Boeing 787,Boeing 787,Economy Class,Doha to Kathmandu ,October 2024,9/10,4.0,5.0,5.0,5.0,5.0,4,
leave the queue to adjust the weight,V Hargan,Netherlands,21st November 2024,Trip Verified,21st November 2024,A350-900,A350-900,Economy Class,Delhi to Duesseldorf via Doha,August 2024,2/10,3.0,3.0,3.0,4.0,1.0,2,
my food did not taste good,S Gale,United Arab Emirates,21st November 2024,Trip Verified,21st November 2024,,Solo Leisure,Economy Class,Doha to Dubai,November 2024,2/10,2.0,3.0,3.0,3.0,1.0,2,
They were so kind and helpful,M Hanoje,Qatar,17th November 2024,Trip Verified,17th November 2024,,Family Leisure,Economy Class,Nairobi to Doha,November 2024,10/10,5.0,5.0,5.0,5.0,5.0,5,
only offer you what is left,M Lopez,Spain,16th November 2024,Trip Verified,16th November 2024,,Couple Leisure,Economy Class,Ho Chi Minh City to Barcelona via Doha,October 2024,2/10,2.0,2.0,1.0,3.0,3.0,2,
service was slow,P Maya,United States,15th November 2024,Trip Verified,15th November 2024,B777,B777,Business Class,Doha to New York,November 2024,1/10,4.0,1.0,1.0,,4.0,2,
meal service was far below expectations,M Saunders,United States,15th November 2024,Trip Verified,15th November 2024,Boeing 777-300 ER,Boeing 777-300 ER,Economy Class,New York to Mumbai via Doha,November 2024,4/10,4.0,2.0,1.0,1.0,3.0,2,
cut my trip short by one day,Harley Salinas,United States,15th November 2024,Trip Verified,15th November 2024,,Couple Leisure,Economy Class,Kathmandu to Doha,November 2024,1/10,,,,,1.0,1,
ticketing staff was unhelpful,P Reddy ,India,14th November 2024,Trip Verified,14th November 2024,Boeing 777,Boeing 777,Economy Class,Bengaluru to London Heathrow,November 2024,4/10,2.0,3.0,2.0,3.0,1.0,3,
reluctant to serve me champagne,N Barton,Australia,10th November 2024,Trip Verified,10th November 2024,Boeing 777 / A350,Boeing 777 / A350,Business Class,Melbourne to Nairobi via Doha,November 2024,7/10,5.0,4.0,3.0,2.0,4.0,2,
serve me cold omelette,S Lobarda,Spain,8th November 2024,Trip Verified,8th November 2024,A350-900,A350-900,Business Class,Doha to Milan,November 2024,1/10,3.0,1.0,1.0,3.0,1.0,1,
expect them to provide transit accommodation,Ameer Ali,Nepal,8th November 2024,Trip Verified,8th November 2024,,Business,Business Class,London to Kathmandu via Doha,November 2024,1/10,,,,,1.0,1,
cancel the flight for operational reasons,J Gregory,Cayman Islands,7th November 2024,Trip Verified,7th November 2024,,Solo Leisure,Economy Class,Madrid to Katmandu via Doha,November 2024,1/10,3.0,3.0,3.0,3.0,1.0,1,
did not receive a premium experience,Mark Curran,United Kingdom,7th November 2024,Trip Verified,7th November 2024,Boeing 787-8,Boeing 787-8,Business Class,Durban to Dublin via Doha,November 2024,1/10,3.0,1.0,2.0,1.0,3.0,1,
Wifi on both legs was terrible,Mark Curran,United Kingdom,7th November 2024,Trip Verified,7th November 2024,"Boeing 787-9 , A350-900","Boeing 787-9 , A350-900",Business Class,Dublin to Cape Town via Doha,October 2024,5/10,3.0,3.0,3.0,1.0,5.0,3,
inflight service was very ordinary,B Saunders,Australia,6th November 2024,Trip Verified,6th November 2024,A320,A320,Business Class,Istanbul to Doha,October 2024,3/10,2.0,3.0,2.0,1.0,2.0,1,
service outstanding from start to finish,Mouaad Joumani,Norway,6th November 2024,Not Verified,6th November 2024,Boeing 787-8 / Boeing 777-300,Boeing 787-8 / Boeing 777-300,Business Class,Oslo to Hanoi via Doha,October 2024,10/10,5.0,5.0,5.0,5.0,5.0,5,
I wholeheartedly recommend them,H Khaldin,Pakistan,6th November 2024,Trip Verified,6th November 2024,,Business,Economy Class,Doha to Karachi,October 2024,10/10,5.0,5.0,5.0,5.0,5.0,5,
excellent in all aspects,Mohamed Sobh,Qatar,5th November 2024,Trip Verified,5th November 2024,Boeing 787-8,Boeing 787-8,First Class,Doha to Cairo,October 2024,10/10,5.0,5.0,5.0,5.0,5.0,5,
Staff very friendly,E Morton,Australia,5th November 2024,Trip Verified,5th November 2024,Boeing 777-300ER,Boeing 777-300ER,Economy Class,Melbourne to London via Doha,November 2024,7/10,3.0,5.0,4.0,5.0,4.0,3,
a very nice Economy experience,J Hayne,United Kingdom,1st November 2024,Trip Verified,1st November 2024,Boeing 777-300ER / 787-8,Boeing 777-300ER / 787-8,Economy Class,Bangkok to London via doha,October 2024,8/10,3.0,5.0,5.0,5.0,5.0,5,
sets a high standard,Rashid Alammari,Qatar,30th October 2024,Trip Verified,30th October 2024,A350,A350,Economy Class,Doha to London,October 2024,10/10,5.0,5.0,5.0,5.0,5.0,4,
rudely pushed upright by passengers,A Mears,Australia,29th October 2024,Trip Verified,29th October 2024,,Solo Leisure,Economy Class,Sydney to Athens via Doha,October 2024,3/10,1.0,2.0,3.0,,4.0,2,
like being in a 5 star hotel,Martin Halshaw,United Kingdom,28th October 2024,Trip Verified,28th October 2024,A350-1000,A350-1000,Business Class,Manila to Auckland via Doha,October 2024,10/10,5.0,5.0,5.0,5.0,5.0,5,
Breakfast portions dismal,Brian Davies,United Arab Emirates,27th October 2024,Trip Verified,27th October 2024,Boeing 777/A320,Boeing 777/A320,Business Class,Dubai to Sofia via Doha,October 2024,3/10,1.0,4.0,2.0,,1.0,1,
luggage had been severely damaged,R Han,Singapore,27th October 2024,Trip Verified,27th October 2024,,Couple Leisure,Economy Class,Singapore to Zurich,September 2024,4/10,2.0,3.0,4.0,4.0,2.0,3,
chaotic and confusing,C Mitchell,United Kingdom,19th October 2024,Trip Verified,19th October 2024,Boeing 777-300ER,Boeing 777-300ER,Economy Class,Bangkok to Manchester via Doha,October 2024,5/10,2.0,2.0,1.0,2.0,2.0,2,
they really are customer focused,Craig Cutts,United Kingdom,19th October 2024,Trip Verified,19th October 2024,A380/A350,A380/A350,Business Class,Bangkok to London via Doha,October 2024,9/10,5.0,4.0,4.0,5.0,3.0,5,
complaints are being overlooked,Michael van de Tonnekreek,Netherlands,19th October 2024,Trip Verified,19th October 2024,,Couple Leisure,Economy Class,Amsterdam to Hanoi via Doha,October 2024,3/10,1.0,2.0,3.0,,1.0,1,
Poor customer service,Gavin Werrett,United Kingdom,16th October 2024,Not Verified,16th October 2024,,Family Leisure,Economy Class,Gatwick to Colombo via Doha,August 2024,2/10,2.0,4.0,3.0,3.0,3.0,2,
Wonderful experience,Sue Doffay,France,15th October 2024,Not Verified,15th October 2024,,Solo Leisure,Economy Class,Nice to Johannesburg via Doha,October 2024,9/10,5.0,5.0,4.0,4.0,4.0,5,
pleased with the overall comfort and service,A Ahmed,United Kingdom,15th October 2024,Trip Verified,15th October 2024,Boeing 787-8 / A320,Boeing 787-8 / A320,Economy Class,Gatwick to Salalah via Doha,October 2024,9/10,5.0,5.0,5.0,3.0,5.0,5,
My food was appalling,A Ahmed,United Kingdom,15th October 2024,Trip Verified,15th October 2024,A320 / Boeing 777-300ER,A320 / Boeing 777-300ER,Economy Class,Salalah to London via Doha,October 2024,5/10,1.0,2.0,1.0,,3.0,5,
My food was disgusting,P Talpahti,Finland,14th October 2024,Trip Verified,14th October 2024,,Business,Economy Class,Helsinki to Johannesburg via Doha,October 2024,5/10,1.0,2.0,2.0,4.0,4.0,2,
no cordoned off section for Business Class,E Keele,Malaysia,14th October 2024,Trip Verified,14th October 2024,,Business,Business Class,Barcelona to Kuala Lumpur via Doha,October 2024,2/10,5.0,5.0,3.0,5.0,1.0,2,
no compensation will be paid,D Norton,Australia,13th October 2024,Trip Verified,13th October 2024,,Couple Leisure,Economy Class,Doha to Singapore,October 2024,2/10,4.0,2.0,3.0,3.0,1.0,2,
really enjoyed the flight,Ladislav Habart,Thailand,7th October 2024,Trip Verified,7th October 2024,Boeing 787,Boeing 787,Economy Class,Doha to Prague,October 2024,10/10,5.0,4.0,4.0,4.0,5.0,5,
happy with the way this trip was handled,Ladislav Habart,Thailand,7th October 2024,Trip Verified,7th October 2024,A380,A380,Economy Class,Bangkok to Doha,October 2024,10/10,5.0,5.0,4.0,4.0,3.0,5,
air crew were particularly helpful,Reneeta DSilva,New Zealand,23rd September 2024,Trip Verified,23rd September 2024,A350,A350,Economy Class,Rome to Auckland via Doha,September 2024,10/10,5.0,5.0,5.0,5.0,5.0,5,
changed their luggage policy,Shakeel Syed,United States,22nd September 2024,Trip Verified,22nd September 2024,,Solo Leisure,Economy Class,Karachi to Chicago via Doha,September 2024,1/10,3.0,2.0,2.0,2.0,1.0,1,
only get an aisle seat at the airport,Svetlana Ceban,Romania,22nd September 2024,Not Verified,22nd September 2024,,Solo Leisure,Economy Class,Beijing to Doha,September 2024,4/10,2.0,5.0,4.0,4.0,2.0,2,
app is an utterly appalling user experience,C Harland,United Kingdom,22nd September 2024,Trip Verified,22nd September 2024,,Couple Leisure,Economy Class,London to Kuala Lumpur via Doha,September 2024,3/10,3.0,2.0,3.0,5.0,1.0,3,
professional & pleasant experience,Fatema Kamal,Bahrain,21st September 2024,Not Verified,21st September 2024,,Family Leisure,Economy Class,Doha to Kuala Lumpur  ,July 2024,10/10,3.0,5.0,4.0,5.0,5.0,5,
flight experience was splendid,Farooq Shah,Saudi Arabia,18th September 2024,Trip Verified,18th September 2024,Boeing 777-300ER,Boeing 777-300ER,Economy Class,Riyadh to Male via doha,September 2024,10/10,5.0,5.0,5.0,4.0,5.0,5,
Flight was cramped,S Irving ,Australia,18th September 2024,Trip Verified,18th September 2024,,Family Leisure,Economy Class,Adelaide to Frankfurt ,September 2024,1/10,1.0,3.0,3.0,2.0,1.0,2,
I find the legroom lacking,Amy Cooper,United Kingdom,16th September 2024,Trip Verified,16th September 2024,A350-900,A350-900,Economy Class,Edinburgh to Kuala Lumpur via Doha,September 2024,4/10,1.0,3.0,2.0,,1.0,1,
requested cash compensation,J Meyre,United States,15th September 2024,Trip Verified,15th September 2024,A350-900,A350-900,Economy Class,Nairobi to San Francisco via Doha,August 2024,3/10,4.0,3.0,3.0,4.0,1.0,3,
moved us to different seats,N Webb,Australia,14th September 2024,Trip Verified,14th September 2024,,Family Leisure,Economy Class,Perth to Dubai via Doha,September 2024,1/10,,,,,2.0,2,
Food was in a small portion,Md Daud Ismail,Malaysia,10th September 2024,Trip Verified,10th September 2024,Boeing 777-300er,Boeing 777-300er,Economy Class,Kuala Lumpur to Doha,September 2024,5/10,5.0,3.0,2.0,3.0,5.0,2,
Service was excellent,H Abid,United Kingdom,10th September 2024,Not Verified,10th September 2024,,Couple Leisure,Economy Class,Jeddah to Manchester via Doha,September 2024,10/10,5.0,5.0,5.0,5.0,5.0,5,
food was in a small portion,Md Daud Ismail,Malaysia,10th September 2024,Trip Verified,10th September 2024,Boeing 787-8,Boeing 787-8,Economy Class,Doha to Gatwick,September 2024,3/10,1.0,2.0,3.0,3.0,5.0,1,
1 meal service on a 7 hour flight,Jan Colson,United Kingdom,9th September 2024,Trip Verified,9th September 2024,Boeing 787,Boeing 787,Economy Class,Oslo to Sharjah via Doha,August 2024,3/10,4.0,5.0,1.0,,4.0,4,
departed from a bus gate,Michael Schade,Germany,8th September 2024,Trip Verified,8th September 2024,Boeing 777,Boeing 777,Economy Class,Dubai to Bangkok via Doha,September 2024,6/10,5.0,5.0,4.0,4.0,3.0,2,
Food poor in quality,Michael Schade,Germany,6th September 2024,Trip Verified,6th September 2024,Boeing 777/A350-1000,Boeing 777/A350-1000,Economy Class,Bangkok to Dubai via Doha,September 2024,4/10,2.0,2.0,1.0,5.0,3.0,2,
One of the best airlines,P Dassene,United Arab Emirates,1st September 2024,Trip Verified,1st September 2024,Boeing 777,Boeing 777,Business Class,Dubai to Paris via Doha,August 2024,9/10,5.0,5.0,3.0,5.0,5.0,5,
Qatar Airways was flawless,Rajan Parrikar,Iceland,29th August 2024,Trip Verified,29th August 2024,Boeing 787-8,Boeing 787-8,Business Class,Goal toDoha,August 2024,10/10,5.0,5.0,4.0,,5.0,4,
cabin staff were fantastic,Alwaleed Althani,Qatar,27th August 2024,Trip Verified,27th August 2024,A380-800,A380-800,First Class,Sydney to Doha,April 2024,10/10,5.0,5.0,5.0,4.0,5.0,4,
a pleasure to be on board,Anne Jenner,Australia,26th August 2024,Trip Verified,26th August 2024,Boeing 777-800er,Boeing 777-800er,Business Class,Melbourne to Athens via Doha,July 2024,10/10,5.0,5.0,5.0,5.0,5.0,5,
emails have been ignored,T Wilson,Hong Kong,25th August 2024,Not Verified,25th August 2024,,Solo Leisure,Economy Class,Doha to Birmingham ,August 2024,3/10,4.0,5.0,5.0,5.0,1.0,3,
cabin staff were amazing,Andrew Morgan,United Kingdom,20th August 2024,Trip Verified,20th August 2024,,Business,Business Class,Kolkata to London via Doha,August 2024,10/10,5.0,5.0,5.0,5.0,5.0,5,
help us find our missing luggages,L Alami,United Arab Emirates,19th August 2024,Trip Verified,19th August 2024,,Family Leisure,Economy Class,Singapore to Dubai,August 2024,1/10,1.0,1.0,1.0,2.0,1.0,1,
seats not together,M Marsaham,Qatar,16th August 2024,Trip Verified,16th August 2024,A350,A350,Economy Class,Rome to Doha,August 2024,2/10,2.0,1.0,2.0,2.0,2.0,1,
waiting for a response to my complaint,P Darson,United Kingdom,12th August 2024,Trip Verified,12th August 2024,Boeing 787,Boeing 787,Economy Class,Dubai to Manchester via Doha,July 2024,1/10,1.0,2.0,1.0,1.0,1.0,1,
inconsistency in service quality,E Barsem,United Kingdom,12th August 2024,Trip Verified,12th August 2024,,Family Leisure,Economy Class,Dubai to Manchester via Doha,August 2024,3/10,1.0,1.0,1.0,4.0,2.0,1,
you will be disappointed,Robert Anuro,United States,8th August 2024,Trip Verified,8th August 2024,B777,B777,Economy Class,Washington to Nairobi via Doha,August 2024,2/10,1.0,2.0,2.0,2.0,1.0,1,
far from satisfactory,Alessandro Di Meo,Australia,6th August 2024,Trip Verified,6th August 2024,,Solo Leisure,Business Class,Adelaide to Barcelona via Doha,June 2024,2/10,5.0,4.0,1.0,3.0,1.0,1,
Customer service at Doha was very poor,Astrid Toegimin,Netherlands,5th August 2024,Not Verified,5th August 2024,Boeing 777,Boeing 777,Economy Class,Jakarta to Amsterdam via Doha,August 2024,4/10,3.0,4.0,4.0,3.0,1.0,2,
had an aircraft change,Russell Teasdale,United Kingdom,4th August 2024,Not Verified,4th August 2024,Boeing 777,Boeing 777,Business Class,Nairobi to Madrid via Doha,August 2024,3/10,1.0,4.0,3.0,1.0,3.0,1,
delayed for 8 hours,Jay Shah,India,1st August 2024,Trip Verified,1st August 2024,,Couple Leisure,Economy Class,San Francisco to Ahmedabad via Doha,August 2024,4/10,3.0,3.0,3.0,1.0,2.0,2,
Really poor experience,C Marwan,United Arab Emirates,30th July 2024,Trip Verified,30th July 2024,,Solo Leisure,Economy Class,Dublin to Dubai via Doha,July 2024,3/10,3.0,1.0,,,1.0,2,
Service was great,Carolina Barrenechea,South Africa,26th July 2024,Not Verified,26th July 2024,,Couple Leisure,Economy Class,Madrid to Johannesburg via Doha,July 2024,7/10,4.0,5.0,5.0,,5.0,5,
exceeded the weight,Enrique Puente,Spain,22nd July 2024,Trip Verified,22nd July 2024,,Couple Leisure,Economy Class,Madrid to Doha,July 2024,3/10,3.0,3.0,3.0,3.0,2.0,3,
give you whatever seats they want,Andrew Lehotzky,United States,20th July 2024,Trip Verified,20th July 2024,,Couple Leisure,Economy Class,Kilimanjaro to London via Doha,June 2024,1/10,1.0,1.0,1.0,1.0,1.0,1,
Terrific business class seating,Billy D Baker,United States,18th July 2024,Trip Verified,18th July 2024,,Solo Leisure,Business Class,Bangkok to Doha,July 2024,10/10,5.0,5.0,5.0,5.0,5.0,5,
did a wonderful job,Billy Baker,United Kingdom,18th July 2024,Trip Verified,18th July 2024,Boeing 787,Boeing 787,Business Class,Frankfurt to Doha,July 2024,10/10,5.0,5.0,5.0,5.0,5.0,5,
I can't even say how grateful I am,Armine Hovsepyan,Armenia,18th July 2024,Trip Verified,18th July 2024,Boeing 777-300ER,Boeing 777-300ER,Economy Class,Beijing to Yerevan via Doha,July 2024,10/10,5.0,5.0,5.0,5.0,5.0,5,
Service was expectedly world class,Rajan Parrikar,Iceland,13th July 2024,Trip Verified,13th July 2024,Boeing 787-8,Boeing 787-8,Business Class,Doha to Goa,July 2024,10/10,5.0,5.0,3.0,,5.0,4,
a high level of comfort,Rajan Parrikar,Iceland,13th July 2024,Trip Verified,13th July 2024,Boeing 787-9,Boeing 787-9,Business Class,Copenhagen to Doha,July 2024,10/10,5.0,5.0,3.0,,5.0,4,
overall it was a good flight,Emilio Chrisostomou,Australia,13th July 2024,Not Verified,13th July 2024,A380,A380,Economy Class,Perth to Paris via Doha,June 2024,10/10,3.0,5.0,4.0,5.0,4.0,5,
worst possible check in Singapore,Ranjan Ramchandani,Singapore,11th July 2024,Not Verified,11th July 2024,,Family Leisure,Business Class,Singapore to Washington via Doha,May 2024,5/10,3.0,5.0,4.0,3.0,1.0,3,
no snack before landing,M Haider,Netherlands,11th July 2024,Trip Verified,11th July 2024,Boeing 787,Boeing 787,Economy Class,Doha to Bangkok,June 2024,2/10,1.0,3.0,1.0,4.0,3.0,1,
extremely helpful,V Vatsalya,United States,11th July 2024,Trip Verified,11th July 2024,,Business,Economy Class,Boston to Delhi via Doha,July 2024,10/10,,,,,,5,
deeply disappointing experience,R Halsawan,United States,10th July 2024,Trip Verified,10th July 2024,,Couple Leisure,Economy Class,Doha to Houston,July 2024,1/10,1.0,,,,1.0,1,
kept my business class upgrade,E Beale,Australia,8th July 2024,Trip Verified,8th July 2024,,Couple Leisure,Economy Class,Adelaide to Milan via Doha,August 2024,2/10,,,,,,2,
their exceptional service,Uzma Rana,United Kingdom,7th July 2024,Trip Verified,7th July 2024,Boeing 777-300ER,Boeing 777-300ER,Business Class,Doha to Heathrow,July 2024,10/10,4.0,5.0,5.0,5.0,5.0,5,
excellent personal attitude,Maciej Rasmus,Poland,5th July 2024,Trip Verified,5th July 2024,A380,A380,Economy Class,Perth to Dammam via Doha,July 2024,10/10,5.0,5.0,5.0,5.0,5.0,5,
thoroughly enjoy flying Qatar Airways,R Largeni,Kenya,5th July 2024,Trip Verified,5th July 2024,Boeing 777-300Er,Boeing 777-300Er,Business Class,Nairobi to Barcelona via Doha,June 2024,7/10,5.0,5.0,3.0,5.0,5.0,4,
The cabin service was perfect,Alwaleed Althani,Qatar,4th July 2024,Trip Verified,4th July 2024,A380-800,A380-800,First Class,Doha to Sydney,June 2024,10/10,5.0,5.0,4.0,5.0,5.0,4,
